date,volume_mcm,area_km2,precipitation_volume_mcm,evaporation_volume_mcm,delta_volume_mcm,runoff_volume_mcm,temp_C,residual_mcm
2025-08-31,211.5146408364048,66.99163113744763,0.0,0.08083143015403961,-0.09740884033885777,0.0,,-0.01657741018481816
2025-09-01,211.43380940625076,66.98855893638344,0.0,0.09290258022780945,-0.08083143015403493,0.0,,0.012071150073774517
2025-09-02,211.34090682602294,66.98502794101074,0.0,0.09655179031744845,-0.09290258022781472,0.0,,0.003649210089633731
2025-09-03,211.2443550357055,66.98135824826377,0.0,0.11258549358443942,-0.09655179031744865,0.0,,0.016033703266990773
2025-09-04,211.13176954212105,66.97667333767872,0.0,0.09121531613620984,-0.11258549358444725,0.0,,-0.02137017744823741
2025-09-05,211.04055422598483,66.97280782570564,0.0,0.07529959222178463,-0.09121531613621414,0.0,,-0.01591572391442951
2025-09-06,210.96525463376304,66.96961678841463,0.0,0.08602410683625754,-0.07529959222179627,0.0,,0.010724514614461264
2025-09-07,210.8792305269268,66.96597126890063,0.0,0.07971317065897782,-0.08602410683624839,0.0,,-0.006310936177270576
2025-09-08,210.7995173562678,66.96259319350006,0.0,0.10020020971105176,-0.07971317065897665,0.0,,0.020487039052075107
2025-09-09,210.69931714655675,66.95834692076045,0.0,0.11460366704475537,-0.10020020971106192,0.0,,0.014403457333693456
2025-09-10,210.584713479512,66.95349025999462,0.0,0.08569959138980475,-0.11460366704474723,0.0,,-0.028904075654942477
2025-09-11,210.4990138881222,66.94985849275817,0.0,0.10821391036407196,-0.08569959138981176,0.0,,0.022514318974260206
2025-09-12,210.39079997775812,66.94527261635182,0.0,0.09544967304054654,-0.10821391036407135,0.0,,-0.012764237323524816
2025-09-13,210.29535030471757,66.94122766129829,0.0,0.08486455206632693,-0.09544967304054808,0.0,,-0.010585120974221152
2025-09-14,210.21048575265124,66.93763128126038,0.0,0.09706994792782261,-0.08486455206633536,0.0,,0.01220539586148725
2025-09-15,210.11341580472342,66.93351766238763,0.0,0.10136500328001137,-0.09706994792782098,0.0,,0.004295055352190394
2025-09-16,210.0120508014434,66.92922202816271,0.0,0.10125286944628371,-0.10136500328002285,0.0,,-0.00011213383373913366
2025-09-17,209.9107979319971,66.92493114593225,0.0,0.07584936509855392,-0.10125286944628442,0.0,,-0.025403504347730504
2025-09-18,209.83494856689856,66.92171681043072,0.0,0.08005872835388421,-0.07584936509854856,0.0,,0.004209363255335649
2025-09-19,209.75488983854467,66.91832409102668,0.0,0.06563154414698338,-0.08005872835389027,0.0,,-0.01442718420690689
2025-09-20,209.6892582943977,66.9155427651435,0.0,0.06983096356838593,-0.06563154414698147,0.0,,0.004199419421404463
2025-09-21,209.6194273308293,66.91258347675641,0.0,0.05883936315245755,-0.06983096356839269,0.0,,-0.010991600415935138
2025-09-22,209.56058796767684,66.9100899891231,0.0,0.0620381571454989,-0.05883936315245819,0.0,,0.0031987939930407105
2025-09-23,209.49854981053133,66.90746094337297,0.0,0.0554708051916504,-0.06203815714550842,0.0,,-0.006567351953858019
2025-09-24,209.44307900533968,66.90511020809399,0.0,0.06880893797341878,-0.05547080519164638,0.0,,0.0133381327817724
2025-09-25,209.37427006736627,66.90219423098775,0.0,0.09706954392707326,-0.06880893797341514,0.0,,0.02826060595365812
2025-09-26,209.2772005234392,66.8980806292357,0.0,0.09310660754708043,-0.0970695439270628,0.0,,-0.003962936379982365
2025-09-27,209.18409391589213,66.89413496833693,0.0,0.07762908656917841,-0.09310660754707101,0.0,,-0.015477520977892595
2025-09-28,209.10646482932296,66.89084521200758,0.0,0.06212845178546524,-0.07762908656917489,0.0,,-0.015500634783709645
2025-09-29,209.0443363775375,66.88821233976178,0.0,0.08440046908515146,-0.062128451785469,0.0,,0.022272017299682464
2025-09-30,208.95993590845234,66.88463562657805,0.0,0.06761446280989279,-0.08440046908515342,0.0,,-0.016786006275260626
2025-10-01,208.89232144564244,66.88177026880024,0.0,0.06571705617287209,-0.06761446280989958,0.0,,-0.0018974066370274906
2025-10-02,208.82660438946957,66.87898531909845,0.0,0.05238497987693137,-0.06571705617287193,0.0,,-0.013332076295940562
2025-10-03,208.77421940959263,66.87676535456286,0.0,0.06211565189991104,-0.05238497987693336,0.0,,0.009730672022977685
2025-10-04,208.71210375769272,66.87413302474913,0.0,0.06670088324025542,-0.06211565189991575,0.0,,0.004585231340339668
2025-10-05,208.64540287445246,66.87130638253922,0.0,0.05794629162793355,-0.06670088324025869,0.0,,-0.008754591612325141
2025-10-06,208.58745658282453,66.86885074138627,0.0,0.05092462758794309,-0.057946291627928304,0.0,,-0.0070216640399852134
2025-10-07,208.5365319552366,66.86669266348878,0.0,0.049979097425709454,-0.050924627587932036,0.0,,-0.0009455301622225826
2025-10-08,208.4865528578109,66.86457465515764,0.0,0.07069001026608836,-0.04997909742570528,0.0,,0.02071091284038308
2025-10-09,208.41586284754482,66.86157896219032,0.0,0.06672589829008198,-0.0706900102660768,0.0,,-0.003964111975994819
2025-10-10,208.34913694925473,66.85875125989557,0.0,0.07828336249057867,-0.06672589829008757,0.0,,0.0115574642004911
2025-10-11,208.27085358676416,66.85543377673793,0.0,0.04718698049001931,-0.07828336249056633,0.0,,-0.03109638200054702
2025-10-12,208.22366660627415,66.85343409241095,0.0,0.046675175788381235,-0.04718698049001091,0.0,,-0.0005118047016296756
2025-10-13,208.17699143048577,66.8514560972836,0.0,0.06875813345237866,-0.046675175788379875,0.0,,0.022082957663998787
2025-10-14,208.1082332970334,66.8485422731654,0.0,0.0414084279139661,-0.06875813345237702,0.0,,-0.027349705538410922
2025-10-15,208.06682486911942,66.84678747166201,0.0,0.049038197578989424,-0.041408427913978585,0.0,,0.00762976966501084
2025-10-16,208.01778667154042,66.84470933667427,0.0,0.049289283478590844,-0.049038197578994414,0.0,,0.0002510858995964302
2025-10-17,207.96849738806182,66.84262056119772,0.0,0.04806707711047989,-0.04928928347860051,0.0,,-0.0012222063681206208
2025-10-18,207.92043031095133,66.84058358023934,0.0,0.04196666478050428,-0.0480670771104883,0.0,,-0.006100412329984019
2025-10-19,207.87846364617081,66.83880512183946,0.0,0.053848432051946185,-0.04196666478051725,0.0,,0.011881767271428936
2025-10-20,207.82461521411886,66.83652313929919,0.0,0.03788986048497665,-0.05384843205195011,0.0,,-0.015958571566973466
2025-10-21,207.7867253536339,66.83491744723378,0.0,0.035992423112001355,-0.037889860484966675,0.0,,-0.0018974373729653202
2025-10-22,207.7507329305219,66.83339216454691,0.0,0.031283696525984325,-0.03599242311199191,0.0,,-0.004708726586007586
2025-10-23,207.71944923399593,66.83206642772325,0.0,0.05264999311772643,-0.03128369652597485,0.0,,0.021366296591751585
2025-10-24,207.6667992408782,66.82983523248762,0.0,0.0765533129655841,-0.05264999311773977,0.0,,0.02390331984784433
2025-10-25,207.5902459279126,66.82659106516591,0.0,0.04778466576971627,-0.07655331296558643,0.0,,-0.02876864719587016
2025-10-26,207.5424612621429,66.82456605220223,0.0,0.04359271278715206,-0.04778466576971141,0.0,,-0.004191952982559352
2025-10-27,207.49886854935573,66.82271868533057,0.0,0.04066599908421705,-0.04359271278715937,0.0,,-0.00292671370294232
2025-10-28,207.45820255027152,66.82099534638908,0.0,0.03749614359475674,-0.040665999084211535,0.0,,-0.0031698554894547953
2025-10-29,207.42070640667677,66.81940633921188,0.0,0.03330605692885471,-0.037496143594751175,0.0,,-0.0041900866658964656
2025-10-30,207.3874003497479,66.81799489903618,0.0,0.025679026157564632,-0.03330605692886479,0.0,,-0.007627030771300159
2025-10-31,207.36172132359033,66.81690667627629,0.0,0.0322518550007044,-0.02567902615757589,0.0,,0.006572828843128507
2025-11-01,207.32946946858962,66.8155399109463,0.0,0.0389859154613263,-0.03225185500070893,0.0,,0.006734060460617371
2025-11-02,207.2904835531283,66.8138877703916,0.0,0.034516457253814546,-0.038985915461324794,0.0,,-0.004469458207510248
2025-11-03,207.2559670958745,66.81242503601284,0.0,0.043083473162007044,-0.034516457253801036,0.0,,0.008567015908206008
