date,area_km2,volume_mcm,evaporation_mm,precipitation_mm,delta_volume_mcm,precipitation_volume_mcm,evaporation_volume_mcm,residual_mcm,predicted,runoff_volume_mcm,temp_C
2025-05-16,45.24597770217332,201.3100663684291,0.032420907,0.0,10.629241993337445,0.0,0.0014669156352062,10.63070890897265,False,,
2025-05-17,46.180634933229314,211.9393083617665,0.032420907,0.0,10.629241993337416,0.0,0.0014972180703711,10.630739211407787,False,,
2025-05-18,47.115292164285314,222.56855035510392,0.032420907,0.0,10.629241993337416,0.0,0.0015275205055361,10.630769513842951,False,,
2025-05-19,48.04994939534131,233.1977923484413,0.032420907,0.0,10.629241993337416,0.0,0.001557822940701,10.630799816278117,False,,
2025-05-20,48.9846066263973,243.8270343417788,0.032420907,0.0,10.629241993337445,0.0,0.001588125375866,10.63083011871331,False,,
2025-05-21,49.919263857453295,254.4562763351162,0.032420907,0.0,10.629241993337416,0.0,0.0016184278110309,10.630860421148448,False,,
2025-05-22,50.853921088509296,265.08551832845365,0.032420907,0.0,10.629241993337445,0.0,0.0016487302461958,10.63089072358364,False,,
2025-05-23,51.78857831956529,275.71476032179106,0.032420907,0.0,10.629241993337416,0.0,0.0016790326813608,10.630921026018775,False,,
2025-05-24,52.72323555062128,286.3440023151285,0.032420907,0.0,10.629241993337416,0.0,0.0017093351165257,10.630951328453945,False,,
2025-05-25,53.65789278167728,296.9732443084659,0.032420907,0.0,10.629241993337416,0.0,0.0017396375516907,10.630981630889108,False,,
2025-05-26,54.59255001273327,307.6024863018033,0.032420907,0.0,10.629241993337416,0.0,0.0017699399868556,10.631011933324272,False,,
2025-05-27,55.52720724378926,318.2317282951408,0.032420907,0.0,10.629241993337471,0.0,0.0018002424220206,10.631042235759494,False,,
2025-05-28,56.46186447484526,328.86097028847814,0.032420907,0.0,10.62924199333736,0.0,0.0018305448571855,10.631072538194545,False,,
2025-05-29,57.39652170590126,339.4902122818156,0.032420907,0.0,10.629241993337471,0.0,0.0018608472923505,10.631102840629824,False,,
2025-05-30,58.33117893695725,350.11945427515303,0.032420907,0.0,10.629241993337416,0.0,0.0018911497275154,10.631133143064933,False,,
2025-05-31,55.176733699395896,319.87278386348504,0.032420907,0.0,-30.246670411667992,0.0,0.0017888797518318,-30.24488153191616,False,,
2025-06-01,52.022288461834535,289.62611345181705,0.032420907,0.0,-30.246670411667992,0.0,0.0016866097761483,-30.244983801891845,False,,
2025-06-02,48.86784322427318,259.3794430401491,0.032420907,0.0,-30.24667041166793,0.0,0.0015843398004647,-30.24508607186747,False,,
2025-06-03,45.71339798671182,229.1327726284811,0.032420907,0.0,-30.24667041166802,0.0,0.0014820698247811,-30.24518834184324,False,,
2025-06-04,42.558952749150464,198.8861022168131,0.032420907,0.0,-30.246670411667992,0.0,0.0013797998490976,-30.24529061181889,False,,
2025-06-05,39.4045075115891,168.63943180514514,0.032420907,0.0,-30.246670411667964,0.0,0.001277529873414,-30.24539288179455,False,,
2025-06-06,36.25006227402775,138.39276139347714,0.032420907,0.0,-30.246670411667992,0.0,0.0011752598977304,-30.24549515177026,False,,
2025-06-07,33.09561703646639,108.14609098180917,0.032420907,0.0,-30.246670411667992,0.0,0.0010729899220468,-30.245597421745945,False,,
2025-06-08,29.94117179890503,77.89942057014116,0.032420907,0.0,-30.246670411667992,0.0,0.0009707199463633,-30.24569969172163,False,,
2025-06-09,26.786726561343677,47.65275015847315,0.032420907,0.0,-30.246670411668013,0.0,0.0008684499706797,-30.24580196169733,False,,
2025-06-10,31.037043568631148,77.35097158609653,0.032420907,0.0,29.698221427623388,0.0,0.0010062491030935,29.69922767672648,False,,
2025-06-11,35.28736057591862,107.04919301371991,0.032420907,0.0,29.698221427623395,0.0,0.0011440482355073,29.6993654758589,False,,
2025-06-12,39.53767758320609,136.74741444134332,0.032420907,0.0,29.698221427623395,0.0,0.0012818473679211,29.699503274991315,False,,
2025-06-13,43.78799459049357,166.44563586896672,0.032420907,0.0,29.698221427623395,0.0,0.0014196465003348,29.69964107412373,False,,
2025-06-14,48.03831159778104,196.1438572965901,0.032420907,0.0,29.698221427623395,0.0,0.0015574456327486,29.699778873256143,False,,
2025-06-15,48.11722312063352,196.8142520738248,0.032420907,0.0,0.6703947772346908,0.0,0.0015600040158923,0.671954781250583,False,,
2025-06-16,48.19613464348599,197.4846468510595,0.032420907,0.0,0.6703947772346908,0.0,0.0015625623990359,0.6719573396337267,False,,
2025-06-17,48.27504616633847,198.1550416282942,0.032420907,0.0,0.6703947772347192,0.0,0.0015651207821795,0.6719598980168987,False,,
2025-06-18,48.35395768919094,198.8254364055289,0.032420907,0.0,0.6703947772346908,0.0,0.0015676791653231,0.671962456400014,False,,
2025-06-19,48.43286921204342,199.4958311827636,0.032420907,0.0,0.6703947772346908,0.0,0.0015702375484668,0.6719650147831576,False,,
2025-06-20,48.51178073489589,200.1662259599983,0.032420907,0.0,0.6703947772346908,0.0,0.0015727959316104,0.6719675731663012,False,,
2025-06-21,48.59069225774837,200.836620737233,0.032420907,0.0,0.6703947772347192,0.0,0.001575354314754,0.6719701315494733,False,,
2025-06-22,48.66960378060085,201.5070155144677,0.032420907,0.0,0.6703947772346908,0.0,0.0015779126978977,0.6719726899325885,False,,
2025-06-23,48.74851530345333,202.1774102917024,0.032420907,0.0,0.6703947772346908,0.0,0.0015804710810413,0.6719752483157321,False,,
2025-06-24,48.8274268263058,202.84780506893708,0.032420907,0.0,0.6703947772346908,0.0,0.0015830294641849,0.6719778066988757,False,,
