elevation_m,area_km2,volume_mcm
-5.472041,19.73877418461781,44.748173013054014
-5.4036407,19.9621760925904,46.106026322253186
-5.3352404,20.1829693841691,47.47895743420903
-5.26684,20.4018844719442,48.86693700198712
-5.1984396,20.64250324811645,50.27050631348918
-5.130039,20.865800811433285,51.689991445764456
-5.061638,21.105063107080717,53.125131537173544
-4.9932375,22.394763052219062,54.5856012937673
-4.924837,22.823932621341555,56.13330970411365
-4.8564367,23.16513964566214,57.70635756195614
-4.7880363,23.469095627877998,59.3011025866548
-4.719636,23.78484255619423,60.91699044722591
-4.6512356,24.141596934222385,62.55601673521082
-4.5828342,24.453691799587176,64.21792711051111
-4.514434,24.740848292226392,65.90055642151987
-4.4460335,25.029465610046188,67.60285470013852
-4.377633,25.31860465114476,69.32496542026877
-4.3092327,25.602839493422824,71.06651685407448
